user_id,problem_id,interaction_score,interaction_type,created_at
2,1,5,submission,2025-12-25 01:50:16.263319
2,6,5,submission,2026-01-11 17:58:58.930737
4,1,2,submission,2025-11-17 14:09:51.544677
4,2,5,submission,2025-11-17 14:28:35.973662
5,2,5,submission,2025-11-24 09:45:24.338499
6,2,5,submission,2025-12-24 02:55:31.236993
6,3,5,submission,2025-12-24 04:26:37.715908
9,2,5,submission,2025-12-12 15:13:25.367402
9,4,2,submission,2025-12-12 04:26:16.570152
5,1,3,bookmark,2025-11-24 07:06:24.452564
2,2,3,bookmark,2025-11-25 10:20:11.606102
9,3,3,bookmark,2025-12-13 09:01:35.429964
2,4,3,bookmark,2025-12-25 03:33:01.009041
